condition,ORF,batch,timepoint,zfact,zgrade,file.name
ADE1,YAR015W,1,t48,0.719788373,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ADE2,YOR128C,1,t48,0.750261659,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
"ADE5,7",YGL234W,1,t48,0.890360652,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ADE6,YGR061C,1,t48,0.848661064,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ADE8,YDR408C,1,t48,0.467977736,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ADO1,YJR105W,1,t48,0.163051544,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ANP1,YEL036C,1,t48,0.419717427,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ARG1,YOL058W,1,t48,0.886433816,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ARG2,YJL071W,1,t48,0.835664034,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ARG3,YJL088W,1,t48,0.863333886,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ARG4,YHR018C,1,t48,-3.525149941,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
"ARG5,6",YER069W,1,t48,0.382523089,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ARO1,YDR127W,1,t48,0.867367025,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ARO7,YPR060C,1,t48,0.857108403,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
BAS1,YKR099W,1,t48,0.437840796,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
CCS1,YMR038C,1,t48,0.745079598,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
CDC40,YDR364C,1,t48,-0.170577251,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
CHO2,YGR157W,1,t48,-1.062264841,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
CNM67,YNL225C,1,t48,-0.488789677,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
DOC1,YGL240W,1,t48,-0.53432183,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ECM29,YHL030W,1,t48,0.866350801,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ERG4,YGL012W,1,t48,0.870439689,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
FUN12,YAL035W,1,t48,0.10938997,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
GGC1,YDL198C,1,t48,-0.346119892,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
HIS1,YER055C,1,t48,0.862752517,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
HIS2,ORF-ts1,1,t48,0.218856646,marginal,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
HIS4,YCL030C,1,t48,0.871382966,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
HIS6,YIL020C,1,t48,0.871837576,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
HMF1,YER057C,1,t48,0.897986082,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
IBA57,YJR122W,1,t48,0.857445646,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ILV1,YER086W,1,t48,0.827327472,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
IRC10,YOL015W,1,t48,0.887358336,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
ISA1,YLL027W,1,t48,0.887449234,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
LAG1,YHL003C,1,t48,0.876285834,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
LYS1,YIR034C,1,t48,0.565715073,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
LYS12,YIL094C,1,t48,-3.107814809,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
LYS2,YBR115C,1,t48,0.79074722,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
LYS4,YDR234W,1,t48,0.859172773,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
LYS9,YNR050C,1,t48,0.806857344,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET1,YKR069W,1,t48,0.880444693,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET10,YFR030W,1,t48,0.873532882,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET13,YGL125W,1,t48,0.891739772,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET14,YKL001C,1,t48,0.875075215,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET18,YIL128W,1,t48,-1.078377222,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET28,YIR017C,1,t48,-19.52587498,infeasible,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET3,YJR010W,1,t48,0.857810124,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
MET7,YOR241W,1,t48,0.898008701,excellent,042619_n1_lib.a1_HIS2_YEA4_001_t48.xls
