from,to
origin,adenine
origin,arginine
origin,aromatic amino acids
origin,ceramide
origin,clathrin
origin,cytosine
origin,DNA damage response
origin,DNA translocase activity
origin,ergosterol
origin,histidine
origin,isoleucine/valine
origin,lysine
origin,methionine/sulphate
origin,methionine/siroheme
origin,mRNA splicing
origin,proteasome
origin,protein maturation
origin,ribosome
origin,stress response
origin,transmembrane transport
origin,tryptophan
origin,unknown
origin,uracil
origin,V-ATPase assembly
origin,vitamin B6
