"A","B","synergy","nearest.monoculture","t.test_p.value","fold.change.48","Cocul","p.value.adj","Significant"
"ADE5,7","HIS2","Yes","HIS2",0.410333566,1.22645031,"ADE5,7-HIS2",0.485123427783251,0
"ARG1","HIS2","Yes","HIS2",0.086820014,1.814195246,"ARG1-HIS2",0.246435142588235,0
"ARG2","HIS2","Yes","HIS2",0.022672404,2.509901033,"ARG2-HIS2",0.112193339381443,0
"ECM29","HIS2","Yes","HIS2",0.131899073,6.514267183,"ECM29-HIS2",0.301867629952607,0
"HIS1","HIS2","Yes","HIS2",0.422137332,1.306005344,"HIS1-HIS2",0.488255227373494,0
"IBA57","HIS2","Yes","HIS2",0.467868493,2.85916942,"IBA57-HIS2",0.519853881111111,0
"ISA1","HIS2","Yes","HIS2",0.197378383,2.849543575,"ISA1-HIS2",0.357515561660377,0
"MET10","HIS2","Yes","MET10",5.85e-05,40.02286042,"MET10-HIS2",0.00200571428571429,1
"POS5","HIS2","Yes","HIS2",0.021860301,4.361373058,"POS5-HIS2",0.11171587,0
"RPL27A","HIS2","Yes","HIS2",0.267117282,2.346449762,"RPL27A-HIS2",0.391502236132931,0
"TRP3","HIS2","Yes","HIS2",0.01393718,4.735083614,"TRP3-HIS2",0.089197952,0
"URA1","HIS2","Yes","HIS2",0.089105879,2.90928081,"URA1-HIS2",0.247127193812155,0
"ADE1","YEA4","Yes","YEA4",1.96e-05,59.54816662,"ADE1-YEA4",0.0009408,1
"ADE5,7","YEA4","Yes","YEA4",0.058882763,41.81028876,"ADE5,7-YEA4",0.195238285241379,0
"ARG1","YEA4","Yes","YEA4",0.203839229,6.073885233,"ARG1-YEA4",0.358398644395604,0
"ARG3","YEA4","Yes","YEA4",0.263811732,3.937362516,"ARG3-YEA4",0.391259171851852,0
"ARO1","YEA4","Yes","ARO1",0.243144049,2.287456568,"ARO1-YEA4",0.380661836116505,0
"ARO7","YEA4","Yes","ARO7",0.334201025,2.178964277,"ARO7-YEA4",0.43180345026738,0
"ERG4","YEA4","Yes","YEA4",0.753778241,1.161067792,"ERG4-YEA4",0.776423939227468,0
"HIS1","YEA4","Yes","HIS1",0.092962493,1.875425216,"HIS1-YEA4",0.247127193812155,0
"HIS6","YEA4","Yes","HIS6",0.144460691,2.663729854,"HIS6-YEA4",0.309896595,0
"HMF1","YEA4","Yes","YEA4",0.401157444,16.02786976,"HMF1-YEA4",0.480662666268657,0
"ILV1","YEA4","Yes","ILV1",0.269961904,2.968535379,"ILV1-YEA4",0.391502236132931,0
"IRC10","YEA4","Yes","IRC10",0.344494706,3.207810423,"IRC10-YEA4",0.437453594920635,0
"ISA1","YEA4","Yes","YEA4",0.31192665,14.27244573,"ISA1-YEA4",0.420246783193277,0
"LYS4","YEA4","Yes","YEA4",0.362964928,11.97005621,"LYS4-YEA4",0.444018066564885,0
"LYS9","YEA4","Yes","LYS9",0.292527215,7.226331135,"LYS9-YEA4",0.408416522790698,0
"MET10","YEA4","Yes","MET10",0.17628496,9.997143694,"MET10-YEA4",0.339826428915663,0
"MET13","YEA4","Yes","YEA4",0.520699594,1.443436323,"MET13-YEA4",0.565465622443439,0
"ORT1","YEA4","Yes","ORT1",0.331714592,7.210963882,"ORT1-YEA4",0.43180345026738,0
"POS5","YEA4","Yes","POS5",0.420665435,1.360066217,"POS5-YEA4",0.48772804057971,0
"TRP3","YEA4","Yes","TRP3",0.207237105,3.135065665,"TRP3-YEA4",0.361722946909091,0
"URA1","YEA4","Yes","URA1",0.175301583,3.809476449,"URA1-YEA4",0.339826428915663,0
"ARO1","ARG5,6","Yes","ARG5,6",0.263936109,2.600462756,"ARO1-ARG5,6",0.391259171851852,0
"ARO7","ARG5,6","Yes","ARG5,6",0.359360897,8.146959929,"ARO7-ARG5,6",0.444018066564885,0
"ECM29","ARG5,6","Yes","ECM29",0.109843679,3.938102841,"ECM29-ARG5,6",0.2785192725,0
"HIS1","ARG5,6","Yes","HIS1",0.232103379,2.219706286,"HIS1-ARG5,6",0.380661836116505,0
"HIS4","ARG5,6","Yes","HIS4",0.090392772,2.167149719,"HIS4-ARG5,6",0.247127193812155,0
"HIS6","ARG5,6","Yes","ARG5,6",0.078546087,2.469861678,"HIS6-ARG5,6",0.23417466931677,0
"IRC10","ARG5,6","Yes","ARG5,6",0.234359076,9.975374109,"IRC10-ARG5,6",0.380661836116505,0
"ISA1","ARG5,6","Yes","ARG5,6",0.284502872,1.692034154,"ISA1-ARG5,6",0.399302276491228,0
