"","Sample","Timepoint","Replicate","parameter","value","Mean","SD","SE","col_fac"
"1","△HIS2-△MET3 1:10","24h","rep1","OD600",0.135,0.115666666666667,0.0218250620464945,0.0126007054476239,"His2 Met3"
"2","△HIS2-△MET3 1:10","24h","rep2","OD600",0.092,0.115666666666667,0.0218250620464945,0.0126007054476239,"His2 Met3"
"3","△HIS2-△MET3 1:10","24h","rep3","OD600",0.12,0.115666666666667,0.0218250620464945,0.0126007054476239,"His2 Met3"
"4","△HIS2-△MET3 1:10","48h","rep1","OD600",0.34,0.331,0.00793725393319378,0.00458257569495584,"His2 Met3"
"5","△HIS2-△MET3 1:10","48h","rep2","OD600",0.328,0.331,0.00793725393319378,0.00458257569495584,"His2 Met3"
"6","△HIS2-△MET3 1:10","48h","rep3","OD600",0.325,0.331,0.00793725393319378,0.00458257569495584,"His2 Met3"
"7","△HIS2-△MET3 20:1","24h","rep1","OD600",0.141,0.148666666666667,0.00709459888459759,0.00409606857581484,"His2 Met3"
"8","△HIS2-△MET3 20:1","24h","rep2","OD600",0.155,0.148666666666667,0.00709459888459759,0.00409606857581484,"His2 Met3"
"9","△HIS2-△MET3 20:1","24h","rep3","OD600",0.15,0.148666666666667,0.00709459888459759,0.00409606857581484,"His2 Met3"
"10","△HIS2-△MET3 20:1","48h","rep1","OD600",0.814,0.819333333333333,0.00503322295684717,0.00290593262902712,"His2 Met3"
"11","△HIS2-△MET3 20:1","48h","rep2","OD600",0.824,0.819333333333333,0.00503322295684717,0.00290593262902712,"His2 Met3"
"12","△HIS2-△MET3 20:1","48h","rep3","OD600",0.82,0.819333333333333,0.00503322295684717,0.00290593262902712,"His2 Met3"
"13","△HIS2-△MET3 5:1","24h","rep1","OD600",0.159,0.176,0.0147986485869487,0.00854400374531753,"His2 Met3"
"14","△HIS2-△MET3 5:1","24h","rep2","OD600",0.183,0.176,0.0147986485869487,0.00854400374531753,"His2 Met3"
"15","△HIS2-△MET3 5:1","24h","rep3","OD600",0.186,0.176,0.0147986485869487,0.00854400374531753,"His2 Met3"
"16","△HIS2-△MET3 5:1","48h","rep1","OD600",0.882,0.910666666666667,0.0248260615751539,0.0143333333333333,"His2 Met3"
"17","△HIS2-△MET3 5:1","48h","rep2","OD600",0.925,0.910666666666667,0.0248260615751539,0.0143333333333333,"His2 Met3"
"18","△HIS2-△MET3 5:1","48h","rep3","OD600",0.925,0.910666666666667,0.0248260615751539,0.0143333333333333,"His2 Met3"
"19","△MET14-△TRP4 1:10","24h","rep1","OD600",0.18,0.193666666666667,0.0158219257150744,0.00913479307069648,"Met14 Trp2"
"20","△MET14-△TRP4 1:10","24h","rep2","OD600",0.211,0.193666666666667,0.0158219257150744,0.00913479307069648,"Met14 Trp2"
"21","△MET14-△TRP4 1:10","24h","rep3","OD600",0.19,0.193666666666667,0.0158219257150744,0.00913479307069648,"Met14 Trp2"
"22","△MET14-△TRP4 1:10","48h","rep1","OD600",0.967,0.935666666666667,0.0997613819738547,0.0575972607373341,"Met14 Trp2"
"23","△MET14-△TRP4 1:10","48h","rep2","OD600",1.016,0.935666666666667,0.0997613819738547,0.0575972607373341,"Met14 Trp2"
"24","△MET14-△TRP4 1:10","48h","rep3","OD600",0.824,0.935666666666667,0.0997613819738547,0.0575972607373341,"Met14 Trp2"
"25","△MET14-△TRP4 1:2","24h","rep1","OD600",0.227,0.236333333333333,0.0225018517756502,0.0129914501799367,"Met14 Trp2"
"26","△MET14-△TRP4 1:2","24h","rep2","OD600",0.262,0.236333333333333,0.0225018517756502,0.0129914501799367,"Met14 Trp2"
"27","△MET14-△TRP4 1:2","24h","rep3","OD600",0.22,0.236333333333333,0.0225018517756502,0.0129914501799367,"Met14 Trp2"
"28","△MET14-△TRP4 1:2","48h","rep1","OD600",1.236,1.19633333333333,0.0349618840072061,0.0201852531429369,"Met14 Trp2"
