"","condition","ord","OD600..48h.","Median_OD600_48hr","SE_OD600_48hr","cultype","Conditional_Group"
"1","ADE1",30,0.119426124,0.0970022315,0.00970502997775459,"monocul1","ADE1-ARO2"
"2","ADE1",30,0.074074431,0.0970022315,0.00970502997775459,"monocul1","ADE1-ARO2"
"3","ADE1",30,0.074578339,0.0970022315,0.00970502997775459,"monocul1","ADE1-ARO2"
"4","ADE1",30,0.327540002,0.0970022315,0.00970502997775459,"monocul1","ADE1-ARO2"
"5","ADE1",51,0.119426124,0.0970022315,0.00970502997775459,"monocul1","ADE1-HIS1"
"6","ADE1",51,0.074074431,0.0970022315,0.00970502997775459,"monocul1","ADE1-HIS1"
"7","ADE1",51,0.074578339,0.0970022315,0.00970502997775459,"monocul1","ADE1-HIS1"
"8","ADE1",51,0.327540002,0.0970022315,0.00970502997775459,"monocul1","ADE1-HIS1"
"9","ADE1",57,0.149156678,0.1191741705,0.0115382021142906,"monocul1","ADE1-IBA57"
"10","ADE1",57,0.143109786,0.1191741705,0.0115382021142906,"monocul1","ADE1-IBA57"
"11","ADE1",57,0.095238555,0.1191741705,0.0115382021142906,"monocul1","ADE1-IBA57"
"12","ADE1",57,0.085160401,0.1191741705,0.0115382021142906,"monocul1","ADE1-IBA57"
"13","ADE1",54,0.131016001,0.2116412325,0.0473389792799652,"monocul1","ADE1-MET13"
"14","ADE1",54,0.071050985,0.2116412325,0.0473389792799652,"monocul1","ADE1-MET13"
"15","ADE1",54,0.499372527,0.2116412325,0.0473389792799652,"monocul1","ADE1-MET13"
"16","ADE1",54,0.292266464,0.2116412325,0.0473389792799652,"monocul1","ADE1-MET13"
"17","ADE1",48,0.201563078,0.1463851855,0.00582301781545686,"monocul1","ADE1-VPH2"
"18","ADE1",48,0.131519909,0.1463851855,0.00582301781545686,"monocul1","ADE1-VPH2"
"19","ADE1",48,0.158730924,0.1463851855,0.00582301781545686,"monocul1","ADE1-VPH2"
"20","ADE1",48,0.134039447,0.1463851855,0.00582301781545686,"monocul1","ADE1-VPH2"
"21","ADE1",21,0.195012274,0.395315583,0.07976951213217,"monocul1","ADE1-YEA4"
"22","ADE1",21,0.675740216,0.395315583,0.07976951213217,"monocul1","ADE1-YEA4"
"23","ADE1",21,0.291258644,0.395315583,0.07976951213217,"monocul1","ADE1-YEA4"
"24","ADE1",21,0.499372522,0.395315583,0.07976951213217,"monocul1","ADE1-YEA4"
"25","ADE1-ARO2",29,3.174618484,3.574721194,0.15651609865185,"cocul","ADE1-ARO2"
"26","ADE1-ARO2",29,3.552549255,3.574721194,0.15651609865185,"cocul","ADE1-ARO2"
